ID,Q17,Do you use apps? (based on all app related questions),Q4,"For those who answered Q4, do they know which app store they are using?",Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_7,Q8_8,Q8_9,Q8_10,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q9_12,Q9_13,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_11,Q11_12,Q11_7,Q11_8,Q11_9,Q11_10,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_12,Q14_13,Q14_15,Q14_14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q15_19,Q15_20,Q15_21,Q15_22,Q15_23,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29.1,Q29.2,Q29.3,Q29.4,Q29.5,Q29.6,Q29.7,Q29.8,Q29.9,Q29.10,Q29.11,Q29.12,Q29.13,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10
1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,66,1,4,1,1,1,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2,66,3,8,6,3,4,6,20,2,8,6,6,,,,,,2,,,,,,,,1,1,7,1,4,1,7,1,7,1
1848,40,1,3,1,5,2,,,,,1,,1,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,1,,,,1,,,,,,,,1,1,1,,1,,1,40,3,8,6,3,4,6,20,2,1,17,6,,,,,,8,,,,,,,,4,4,5,3,5,5,5,3,5,4
1849,30,1,4,1,2,1,,,,1,,,,,,,,,1,,,,,,,1,,,1,1,1,,1,,1,,,1,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,1,1,,,1,,1,,,1,,,,1,,,,,,,,,,1,,1,,,,,,,,1,,,1,,,1,,1,30,1,10,8,4,4,6,18,2,1,8,6,,,,,,3,,,,,,,,3,3,3,2,6,6,4,5,5,4
1850,27,1,1,1,2,1,,,1,1,,,1,,,1,,1,,,,1,,,,1,1,1,1,1,,,,,,,1,,,,1,1,1,,,,1,,,1,,,,,1,,,,,,,,1,,1,1,,,1,1,,,,,,,1,1,1,1,1,1,,,,,1,,,,,1,1,,1,,,,,1,1,,,,,,2,27,2,8,6,3,4,4,23,2,1,17,6,,,,,,2,,,,,,,,4,1,6,2,2,3,7,1,3,4
1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,69,1,9,2,1,1,,,1,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,69,3,11,9,5,1,3,13,2,6,1,8,,,,,,,,4,,,,,,6,4,4,5,4,4,7,1,3,2
1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,49,2,10,0,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,49,2,7,5,2,6,5,18,2,1,25,6,,,,,,6,,,,,,,,6,4,6,3,6,2,7,1,4,1
1856,83,2,8,2,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,83,3,4,14,1,4,5,18,1,8,8,3,,,8,,,,,,,,,,,4,2,7,1,3,5,6,1,6,3
1857,67,1,1,1,7,2,,,,,1,,,,,,,,1,,,,,1,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,1,1,1,,,1,,1,,,,1,,,1,1,,,,2,67,3,2,1,1,4,2,20,2,2,17,1,5,,,,,,,,,,,,,1,1,7,7,5,7,5,1,7,1
1858,68,1,9,2,2,2,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,68,3,11,9,5,1,5,16,2,8,1,8,,,,,,,,7,,,,,,3,4,6,3,4,5,4,2,4,6
1859,31,1,1,1,3,1,,,1,1,,1,,,,1,,1,,,,1,,,,1,,,1,,,,,,,,,,,,1,,,,,,1,1,,1,,1,,,1,,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,1,,,,1,,,,1,,,,2,31,3,5,3,1,4,3,16,2,1,17,4,,,,12,,,,,,,,,,6,3,6,3,5,2,6,2,5,4
1860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,25,1,3,1,6,1,,,1,,,,,,1,1,1,,,,,1,,1,,,1,,,1,,1,,,,,,1,1,,1,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,1,25,4,6,4,7,1,3,12,2,1,12,5,,,,,5,,,,,,,,,2,3,7,5,4,7,7,5,4,7
1862,50,1,5,1,4,2,,,,1,1,,1,,1,,1,1,,,,,,,,1,1,1,1,,1,,,,,,1,,,,1,1,,,,1,,,,,,1,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,1,1,,,,2,50,4,7,5,2,7,3,19,2,1,25,6,,,,,,3,,,,,,,,6,1,4,1,6,4,7,1,5,1
1863,45,1,5,2,2,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,45,4,10,8,4,5,4,15,2,6,13,6,,,,,,2,,,,,,,,7,4,5,1,7,7,4,2,7,5
1864,36,1,1,1,1,1,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,36,3,10,8,4,4,3,16,2,3,2,6,,,,,,8,,,,,,,,4,5,4,3,5,3,3,5,3,3
1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,17,1,3,1,4,2,,,1,1,1,,,,1,1,,,,,,,1,1,,,1,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2,17,2,14,11,6,1,2,7,2,4,1,11,,,,,,,,,,,12,,,5,3,5,4,4,5,5,2,4,2
1872,17,1,3,1,7,4,,,1,1,1,,1,,1,,1,1,,,,,,1,1,,1,1,,,,1,1,,,,,1,,,1,1,,1,,1,1,,,,,1,,,,,,,,,,,1,,1,,1,,1,1,1,,,1,1,,,,,1,,1,,1,,,,1,1,,1,,,,1,1,,,1,,,,,,1,,2,17,2,4,14,1,5,2,11,2,2,17,3,,,5,,,,,,,,,,,7,1,5,5,7,3,7,1,6,1
1873,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,65,1,9,2,1,1,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,65,3,11,9,5,1,3,13,2,2,16,8,,,,,,,,8,,,,,,5,3,4,5,4,3,4,4,3,3
1877,55,1,1,1,4,2,,1,,1,,,,,1,,,1,,,,,,,,,1,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,1,,,,,1,1,,,,,,,,,,,,,1,,1,,2,55,3,7,5,2,6,7,20,2,1,8,6,,,,,,5,,,,,,,,5,5,6,6,7,3,5,2,2,2
1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,67,1,1,1,3,1,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,1,1,1,,,,,,1,1,,1,,,,1,67,3,8,6,3,4,2,15,2,1,4,6,,,,,,9,,,,,,,,3,3,7,3,4,4,7,2,7,3
1880,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,38,1,3,1,4,2,,1,1,,,,,,,,,1,,1,,,,,,,,1,1,1,,,,,1,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,1,1,1,,1,1,1,1,,1,1,,1,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,38,1,8,6,3,4,2,10,2,6,22,6,,,,,,3,,,,,,,,5,3,5,3,4,4,6,4,4,4
1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,60,2,10,0,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,60,3,2,1,1,4,4,14,2,1,19,1,12,,,,,,,,,,,,,4,3,6,4,5,3,6,4,5,3
1888,67,2,8,2,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,67,2,4,14,1,4,6,17,2,8,10,3,,,5,,,,,,,,,,,6,4,6,2,6,4,4,2,4,2
1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,68,2,8,2,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,68,3,7,5,2,4,1,10,2,8,25,6,,,,,,5,,,,,,,,4,2,6,6,4,5,5,1,5,5
1891,43,1,4,1,4,2,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,43,3,15,13,10,3,3,17,2,1,16,6,,,,,,3,,,,,,,,6,2,6,2,5,4,6,3,5,4
1892,51,1,1,1,5,2,,1,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,1,,,,,,,1,1,,,,2,51,1,7,5,2,6,6,23,2,1,8,6,,,,,,12,,,,,,,,2,3,7,7,3,7,4,1,4,7
1893,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,27,2,8,2,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,1,1,,,,,1,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,2,27,3,2,1,1,4,3,16,2,5,25,1,5,,,,,,,,,,,,,4,5,6,2,4,5,5,1,5,6
1895,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,50,2,8,2,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,2,50,3,10,8,1,4,3,16,2,2,15,6,,,,,,4,,,,,,,,2,2,2,5,4,1,2,1,3,2
1897,26,1,1,1,6,2,,1,1,1,,,,,,1,,1,,,,1,,,,1,,1,1,,,,,,1,,,,,,1,,,,,,,1,,,,,,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,,1,,2,26,1,13,12,9,7,3,16,2,1,16,10,,,,,,,,,,6,,,,7,2,7,2,6,7,7,2,6,1
1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,33,1,4,1,6,4,,1,,1,1,,1,,1,1,,,,,,,,1,,,,1,1,,1,1,1,,1,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,,1,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,33,3,16,13,11,4,4,12,2,6,22,6,,,,,,3,,,,,,,,5,4,6,3,7,6,7,1,7,3
1901,66,1,1,2,3,2,,,,,1,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,,1,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,66,3,8,6,3,4,6,16,2,8,8,6,,,,,,4,,,,,,,,3,4,7,2,5,7,5,1,7,5
1902,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,62,2,10,0,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,62,3,4,14,1,4,4,12,1,7,11,3,,,3,,,,,,,,,,,4,2,7,2,4,4,7,2,7,4
1907,18,1,5,2,1,1,,,1,1,1,,,,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,,1,,,1,,,1,1,,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,1,,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,1,,,1,1,1,,,1,1,1,1,,,1,,1,18,1,12,10,10,3,2,12,2,2,17,9,,,,,,,,,9,,,,,3,1,5,5,4,7,4,6,7,1
1908,25,1,3,1,5,3,,,1,1,1,,1,,,1,1,1,1,1,,,,,1,,1,,1,1,,1,1,,1,,1,,,,1,1,,,,1,1,1,,,1,,,,1,1,1,1,,,,,1,,1,1,,,1,1,,,,,1,,1,,1,1,1,1,,1,,,1,,1,1,1,,1,,1,1,,,1,,1,1,1,1,1,,1,25,1,8,6,1,4,3,0,2,4,24,6,,,,,,2,,,,,,,,1,1,7,1,6,1,5,5,6,1
1909,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,,2,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911,70,1,1,1,6,2,,,,,1,,,,,,1,,1,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,1,,,,,,1,,,,1,,,1,1,,,,1,70,3,11,9,5,1,3,10,2,8,15,8,,,,,,,,12,,,,,,5,4,4,4,7,5,4,5,4,1
1912,51,1,3,2,1,1,,1,,,,,,,1,,,,,,,,,,,,,,1,1,1,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,1,,1,51,2,15,13,10,4,6,20,2,6,8,6,,,,,,1,,,,,,,,3,3,5,5,4,6,5,5,5,4
1913,17,1,2,1,2,1,,,1,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,1,,1,,,,,1,,1,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,2,17,2,4,14,1,7,2,13,2,2,5,3,,,6,,,,,,,,,,,6,2,5,2,4,5,6,4,6,2
1914,20,1,4,1,5,3,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,1,,,1,,,,,1,1,,1,,,,,,,,,1,1,,,,,1,,1,,1,1,1,,,,1,,1,20,2,9,7,11,7,5,15,2,1,4,7,,,,,,,5,,,,,,,2,5,7,3,7,4,6,3,5,4
1915,70,1,3,1,9,1,,1,,,,,,,,,,1,,,,1,,1,,1,,1,1,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,1,,1,1,,,,1,70,3,4,14,1,4,4,30,3,8,20,3,,,4,,,,,,,,,,,5,2,6,3,3,3,5,5,6,2
1916,64,1,1,1,3,1,,,,,1,,,,,,1,,,,,1,,,,,1,1,1,1,,,,,,,,,,,1,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,1,,,,,,1,,1,,,,2,64,3,2,1,1,6,3,14,2,2,1,1,12,,,,,,,,,,,,,2,4,3,5,6,6,6,2,3,2
1917,41,1,1,1,2,1,,,1,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,2,41,3,2,1,1,4,5,17,2,1,8,1,7,,,,,,,,,,,,,5,3,5,4,7,4,6,3,6,4
1918,68,2,8,2,9,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,68,3,11,9,5,1,4,63,2,8,15,8,,,,,,,,5,,,,,,3,5,5,5,3,5,5,3,3,3
1919,26,1,3,1,2,1,,,1,1,,,,,,,1,1,,1,,1,,,1,,,,1,,,1,,,,,,,,,1,1,,,,1,,,,1,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,1,,,,1,,,,,,,,2,26,1,5,3,1,4,5,23,2,2,17,4,,,,4,,,,,,,,,,4,2,4,5,4,4,5,3,4,3
1920,45,1,3,1,5,2,,1,1,,1,,,,,1,,1,,,,1,,,,1,1,,1,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,1,1,,,1,,,,1,1,,,2,45,1,8,6,3,7,3,13,2,1,10,6,,,,,,5,,,,,,,,2,5,5,3,5,6,6,3,5,5
